question,Interpersonal Agreement,Majority Vote,Compliance Score,Average DoX,Max Confidence
"Where appropriate, is training provided to users?",N,N,0.16,0.43,0.37
"Where applicable, are installation instructions provided?",N,N,0.28,0.56,0.51
"Is there provision for adequate information pursuant to Article 13, especially regarding risks?",Y,Y,0.41,0.79,0.52
Is there information on the degrees of accuracy for specific target groups?,N,N,0.49,1.05,0.46
"Is there information on how the AI system interacts with hardware or software that is not part of the AI system itself, where applicable?",Y,"Y, partially",0,0,0
"Is there information about the computational resources used in different phases like development, training, testing, and validation?",Y,Y,0.5,0.64,0.79
"Is there evidence that a risk management system has been established, implemented, documented, and maintained for high-risk AI systems?",Y,Y,0.81,1.36,0.6
Is there an assessment of human oversight measures as per Article 14?,Y,Y,0.63,0.98,0.64
Is there a provision for regular systematic updates?,Y,Y,0.51,1.02,0.5
"Is there a provision for individuals to intervene on the operation of the high-risk AI system or to interrupt the system, such as through a ""stop"" button or a similar procedure?",N,Y,0.54,0.97,0.56
Is there a list of applied harmonized standards?,Y,Y,0.86,1.24,0.7
Is there a judgment on the acceptability of any residual risks?,Y,Y,0.59,0.74,0.8
Is there a detailed description of the system to evaluate the AI system's performance in the post-market phase?,N,Y,1.36,1.87,0.73
"Is the system architecture, including software component interactions, explained?",Y,Y,0.51,0.83,0.61
Is the hardware on which the AI system is intended to run described?,N,Y,0.44,0.65,0.68
Is the date and version of the system provided?,Y,Y,0.39,0.6,0.66
Is specific consideration given to whether the high-risk AI system is likely to be accessed by or impact children?,N,N,0.21,0.44,0.48
"Is due consideration given to the technical knowledge, experience, education, and training expected from the user and the environment where the system will be used?",Y,Y,0.29,0.44,0.66
Is a copy of the EU declaration of conformity included in the documentation?,Y,Y,0.45,0.85,0.53
"If the AI system is for credit institutions regulated by Directive 2013/36/EU, does it adhere to the risk management procedures pursuant to Article 74 of that Directive?",Y,N,0,0,0
"If no harmonized standards are applied, is there a description of the solutions adopted to meet the requirements?",N,N,0.52,0.79,0.66
"If applicable, are there photographs or illustrations available that show the external features, marking, and internal layout of products in which the AI system is a component?",Y,N,0,0,0
"For systems identified in point 1(a) of Annex III, does the human oversight measure ensure that no action or decision is taken based on the AI system's identification unless verified and confirmed by at least two natural persons?",Y,N,0,0,0
Does the technical documentation indicate that the high-risk AI system is designed and developed to be effectively overseen by natural persons?,Y,Y,1.02,1.5,0.68
Does the risk management system include evaluation of risks based on data gathered from post-market monitoring?,Y,Y,0.84,1.13,0.74
"Does the documentation specify how human oversight aims to prevent or minimize risks to health, safety, or fundamental rights?",Y,Y,0.77,1.16,0.66
Does the documentation show evidence of elimination or reduction of risks through adequate design and development?,Y,Y,0.86,1.61,0.54
Does the documentation indicate that the risk management system is a continuous iterative process run throughout the entire lifecycle of the high-risk AI system?,Y,Y,0.94,1.41,0.67
Does the documentation include a general description stating the intended purpose of the AI system?,Y,Y,0.52,0.92,0.56
Does the documentation detail the capabilities and limitations of the AI system?,Y,Y,0.91,1.36,0.67
Does the documentation describe the methods and steps performed for the development of the AI system?,N,Y,1.12,1.66,0.67
Does the documentation describe any pre-determined changes to the system and its performance?,N,Y,0.63,1.09,0.58
Does the documentation describe any changes made to the system throughout its lifecycle?,Y,Y,0.68,1.09,0.62
Does the documentation describe all forms in which the AI system is placed on the market or put into service?,N,Y,0.22,0.42,0.52
Does the description of the system to evaluate the AI system's performance include a post-market monitoring plan as referred to in Article 61(3)?,Y,Y,0.93,1.34,0.7
Do the risk management measures reflect the generally acknowledged state of the art?,Y,Y,0.87,1.25,0.69
Do the risk management measures consider the effects and possible interactions resulting from combined application requirements?,N,N,0.78,1.21,0.64
Do the measures enable individuals to correctly interpret the high-risk AI system’s output?,Y,Y,0.68,1.02,0.67
"Do the human oversight measures help individuals detect and address signs of anomalies, dysfunctions, and unexpected performance as soon as possible?",N,Y,0.57,0.96,0.59
Do testing procedures ensure consistent performance and compliance?,Y,Y,0.85,1.17,0.72
"Can individuals decide not to use the high-risk AI system, or otherwise disregard, override, or reverse the output of the AI system?",Y,Y,0.71,1.02,0.7
"Are validation and testing procedures clearly defined, along with used metrics and test logs?",Y,"Y, partially",0.74,1.21,0.61
"Are trade-offs in the technical solutions, such as accuracy vs. speed or privacy vs. functionality, clearly documented?",N,Y,0.35,0.77,0.46
Are these measures designed to enable individuals to understand the capacities and limitations of the AI system?,Y,Y,0.95,1.56,0.61
Are there sections detailing the use of any pre-trained systems or third-party tools?,N,N,0.31,0.65,0.47
Are there instructions for users on how to use the AI system?,N,N,0.27,0.43,0.63
Are there any requirements related to version updates?,Y,Y,0.49,0.96,0.52
Are the versions of relevant software or firmware listed?,N,Y,0.27,0.52,0.51
Are the persons or teams responsible for developing the AI system clearly identified?,N,N,0.44,0.6,0.74
"Are the measures for human oversight identified and built into the high-risk AI system by the provider, or are they identified as appropriate to be implemented by the user?",Y,Y,0.82,1.06,0.78
"Are the design specifications, including the general logic and algorithms, clearly outlined?",Y,Y,0.48,1.04,0.46
"Are the data requirements including datasheets, training methodologies, and data sets described?",Y,"Y, partially",0.52,0.98,0.53
Are testing procedures suitable for the intended purpose?,Y,Y,0.41,0.66,0.62
"Are testing procedures performed at appropriate times, including before market placement?",Y,Y,0.49,0.9,0.54
Are technical measures for human oversight outlined?,Y,Y,0.65,0.95,0.69
Are suitable risk management measures adopted?,Y,Y,0.91,1.34,0.67
Are specifications on input data provided?,Y,"Y, partially",0.57,1.21,0.47
Are risks estimated and evaluated both for intended use and conditions of reasonably foreseeable misuse?,N,Y,1.06,1.44,0.74
Are residual risks communicated to the user?,Y,Y,0.51,0.65,0.79
Are mitigation and control measures implemented for risks that cannot be eliminated?,Y,Y,0.72,1.07,0.67
Are metrics and probabilistic thresholds defined preliminarily?,N,Y,0.58,0.88,0.66
Are measures in place to ensure individuals remain aware of the possible tendency of automatically relying or over-relying on the output produced by the high-risk AI system?,N,Y,0.85,1.24,0.68
Are known and foreseeable risks associated with the high-risk AI system identified and analyzed?,Y,"Y, partially",0.8,1.13,0.71
Are high-risk AI systems tested to identify the most appropriate risk management measures?,Y,Y,0.82,1.01,0.81
"Are foreseeable unintended outcomes and risks, including to health and safety and fundamental rights, described?",Y,"Y, partially",0.7,1.18,0.59
