question,Answer / DB,Answer / EH,Answer / MC,Interpersonal Agreement,Majority Vote,Correct Answer,Answer / DoX,Answer / ChatGPT 3.5,Answer / ChatGPT 4
"Where appropriate, is training provided to users?",Yes,,Yes,N,Y,Y,"Yes, training is provided to users. Regular training and support are provided to ensure users can effectively utilize the system in their credit approval processes (paragraph 0 and 9).",Y,Y
"Where applicable, are installation instructions provided?",No,"Y, provided digitally",Yes,N,"Y, partially","Y, but there’s only a reference to the fact that the instructions and API documentation are provided digitally.","Yes, installation instructions are provided for the Credit Approval AI Model and they are provided digitally (paragraph 0). The system is also hosted on the cloud and accessed via APIs, which reduces the need for complex installations (paragraph 1).",Y,Y
"Is there provision for adequate information pursuant to Article 13, especially regarding risks?",Yes,,Yes,N,Y,Y,"Yes, there is provision for adequate information pursuant to Article 13, especially regarding risks. The system provides adequate information about its operation and risks to all stakeholders, ensuring transparency (Paragraph 0). The document describes risk management procedures established by the institution pursuant to Article 74 of the Directive (Paragraph 1). The system identifies and analyzes known and foreseeable risks associated with its operation, including potential misuse scenarios and their associated risks (Paragraph 19). Residual risks associated with each hazard and the overall residual risk of the system are communicated to users, ensuring they have a comprehensive understanding of the system's limitations and potential issues (Paragraph 16).",Y,N
Is there information on the degrees of accuracy for specific target groups?,No,N,Yes,N,N,"Y, limited to age groups","Yes, the AI system's performance is monitored across different demographic groups to detect and address any potential bias or discrimination (paragraph 1). The AI Fairness 360 toolkit is used to compute fairness metrics and compare the percentage of favorable outcomes for different groups (paragraph 11). The system also undergoes routine performance evaluations, which include an analysis of the system's accuracy and fairness metrics (paragraph 14). The training and test accuracies of different models such as the BRCG model, LRR model, and XGBoost model are also provided (paragraphs 2, 4, 5, 15).",Y,N
"Is there information on how the AI system interacts with hardware or software that is not part of the AI system itself, where applicable?",Yes,Y,Yes,Y,Y,Y,"Yes, there is information on how the AI system interacts with hardware or software that is not part of the AI system itself. The AI system can be integrated as a component of other larger financial software systems or platforms (paragraph 0). It is implemented using Python and makes use of several open-source libraries, including XGBoost for model training, and AI Fairness 360 (aif360) toolkit for ensuring fairness and reducing bias (paragraph 1). The system also utilizes Nvidia's DGX System for firmware and relies on CUDA 10.0 and cuDNN 7.6.5 or later (paragraph 1). The AI system is a cloud-based solution, which enables seamless integration and interaction with other hardware and software systems (paragraph 10). It is designed to work efficiently on standard server-grade hardware with a robust computational capability (paragraph 10). The system is hosted on the cloud and accessed via APIs, reducing the need for complex installations (paragraph 12).",Y,Y
"Is there information about the computational resources used in different phases like development, training, testing, and validation?",Yes,N,Yes,N,Y,Y,"Yes, there is information about the computational resources used in different phases like development, training, testing, and validation. The AI system is implemented using Python and several open-source libraries, including XGBoost for model training, and AI Fairness 360 (aif360) toolkit for ensuring fairness and reducing bias. It also uses explanatory models from the AI Explainability 360 (aix360) toolkit for enhancing model explainability. The system relies on Nvidia's DGX System for firmware and utilizes CUDA 10.0 and cuDNN 7.6.5 or later. During the training phase, the model underwent an intensive 8-hour training period on 8x NVIDIA A100 GPUs to achieve optimal performance (paragraph 1 and 15). The system is designed to work efficiently on standard server-grade hardware with a robust computational capability (paragraph 5).",Y,Y
"Is there evidence that a risk management system has been established, implemented, documented, and maintained for high-risk AI systems?",Yes,Y,Yes,Y,Y,Y,"Yes, there is evidence that a risk management system has been established, implemented, documented, and maintained for high-risk AI systems. The high-risk AI system is rigorously tested to identify the most appropriate risk management measures, and its performance is evaluated against defined metrics and probabilistic thresholds (paragraph 1). The system design is continuously reviewed and updated to eliminate or reduce risks (paragraph 2). The company adheres to several harmonised standards to meet the legal and technical requirements of various jurisdictions, including ISO/IEC 27001 for information security management, ISO/IEC 27701 for privacy information management, ISO/IEC 38505-1 for governance of data, IEEE P7003 for algorithmic bias considerations, and ISO/IEC TR 24028:2020 for trustworthiness in AI systems (paragraph 4). The system identifies and analyzes known and foreseeable risks associated with its operation (paragraph 6). Mitigation and control measures are implemented for risks that cannot be eliminated entirely, including regular bias audits, data quality checks, and system performance evaluations (paragraph 13). The risk management system is executed throughout the entire lifecycle of the high-risk AI system, consistently updated, and thoroughly documented to ensure transparency and compliance (paragraph 17).",Y,N
Is there an assessment of human oversight measures as per Article 14?,Yes,Y,Yes,Y,Y,Y,"Yes, there is an assessment of human oversight measures as per Article 14. The assessment of these measures is conducted bi-annually and the findings are reported to both internal stakeholders and relevant regulatory bodies (Paragraph 0). The human oversight measures implemented for the credit approval AI system include a Human-in-the-Loop mechanism, audit trails, periodic model review, user feedback loop, and an emergency off-switch. Each of these mechanisms has its own assessment criteria. For instance, the effectiveness of the Human-in-the-Loop mechanism is assessed by tracking the frequency and nature of overrides made by loan officers. Audit trails are periodically reviewed by compliance officers to ensure all actions can be traced back to a specific point in the decision-making process. The model's performance metrics, along with fairness and bias metrics, are evaluated during periodic model reviews. Customer feedback is quantitatively and qualitatively analyzed. The responsiveness and effectiveness of the emergency off-switch are tested under simulated emergency conditions (Paragraph 1).",Y,Y
Is there a provision for regular systematic updates?,Yes,Y,Yes,Y,Y,Y,"Yes, there is a provision for regular systematic updates. Regular updates and human oversight measures help the system adapt to changing trends and maintain its high performance (paragraph 0). Each update goes through a rigorous validation and testing process before it is deployed to ensure that it improves the system's performance and does not introduce new risks or biases (paragraph 1). Updates to these software components should be applied as they become available to ensure optimal performance and security (paragraph 2). The AI system's performance is continuously evaluated and improved in the post-market phase through ongoing monitoring, routine performance evaluations, bias detection and mitigation, system updates, audits and compliance checks, user feedback, and an effective incident response plan (paragraph 3). Based on the results of the ongoing monitoring and routine performance evaluations, updates may be implemented to the AI system to improve its performance or functionality (paragraph 4). All updates are logged and documented to maintain a transparent record of the system's evolution and improvements (paragraph 1).",Y,N
"Is there a provision for individuals to intervene on the operation of the high-risk AI system or to interrupt the system, such as through a ""stop"" button or a similar procedure?",Yes,Y,Yes,Y,Y,Y,"Yes, there is a provision for individuals to intervene on the operation of the high-risk AI system or to interrupt the system. The system is equipped with an ""emergency off-switch"" that can immediately halt the AI system's operations in case of malfunction or unexpected behavior. The responsiveness and effectiveness of the off-switch are tested under simulated emergency conditions. The assessment also includes the time taken to engage the off-switch and the system's ability to safely and quickly transition control back to human operators (paragraph 0). Additionally, the AI system is designed with built-in human oversight to ensure the correctness of the outputs (paragraph 2). Institutions can configure user permissions to allow certain levels of staff to override the AI's recommendations (paragraph 10).",Y,Y
